srcip,dstip,proto,dur,sbytes,dbytes,service,attack_cat,label
59.166.0.0,149.171.126.0,tcp,0.188866,5928,8010,ssh,,0
59.166.0.1,149.171.126.3,tcp,1.00704,1580,10168,http,,0
59.166.0.4,149.171.126.7,tcp,1.12611,3992,2976,-,,0
59.166.0.1,149.171.126.0,tcp,0.533805,37180,3172,smtp,,0
59.166.0.9,149.171.126.8,tcp,0.01702,2646,25310,-,,0
59.166.0.6,149.171.126.0,udp,0.001033,132,164,dns,,0
175.45.176.1,149.171.126.18,udp,5e-06,114,0,dns,Generic,1
59.166.0.0,149.171.126.1,udp,0.284245,536,304,-,,0
59.166.0.8,149.171.126.6,tcp,25.585449,17226,1072890,-,,0
59.166.0.9,149.171.126.6,tcp,1.016766,1684,10168,http,,0
59.166.0.8,149.171.126.3,tcp,0.00893,2230,14816,-,,0
59.166.0.0,149.171.126.1,udp,0.001046,146,178,dns,,0
59.166.0.5,149.171.126.0,tcp,0.342062,4440,3080,-,,0
59.166.0.0,149.171.126.1,tcp,0.00498,3872,2456,-,,0
59.166.0.3,149.171.126.8,tcp,0.016975,2958,32408,-,,0
59.166.0.2,149.171.126.7,tcp,1.004862,1580,10168,http,,0
175.45.176.0,149.171.126.13,udp,8e-06,1064,0,-,,0
59.166.0.5,149.171.126.1,tcp,0.012888,2766,24004,-,,0
59.166.0.0,149.171.126.0,tcp,0.022036,2750,27730,-,,0
59.166.0.6,149.171.126.0,tcp,0.011049,2334,16290,-,,0
59.166.0.1,149.171.126.7,tcp,0.005213,2158,1918,-,,0
59.166.0.3,149.171.126.1,tcp,1.159854,1684,10168,http,,0
59.166.0.3,149.171.126.1,tcp,0.714863,1540,1644,-,,0
59.166.0.4,149.171.126.7,tcp,0.007392,1920,4312,-,,0
59.166.0.3,149.171.126.3,tcp,0.023512,3302,36154,-,,0
59.166.0.9,149.171.126.0,tcp,0.19721,1272,2572,-,,0
59.166.0.5,149.171.126.8,tcp,0.017768,1540,1644,-,,0
59.166.0.8,149.171.126.8,udp,0.001075,146,178,dns,,0
59.166.0.9,149.171.126.7,tcp,0.066331,37228,3380,smtp,,0
59.166.0.6,149.171.126.5,udp,0.001015,146,178,dns,,0
59.166.0.9,149.171.126.4,tcp,0.072351,3210,27552,-,,0
59.166.0.2,149.171.126.3,tcp,1.012884,1684,10168,http,,0
59.166.0.1,149.171.126.1,tcp,0.006889,2054,2478,-,,0
59.166.0.8,149.171.126.1,tcp,0.017846,2438,18678,-,,0
59.166.0.8,149.171.126.8,udp,0.00101,146,178,dns,,0
175.45.176.1,149.171.126.18,udp,1e-05,114,0,dns,Generic,1
59.166.0.0,149.171.126.4,udp,0.000995,146,178,dns,,0
59.166.0.6,149.171.126.0,tcp,0.368859,11826,501566,-,,0
59.166.0.2,149.171.126.1,tcp,0.422337,37252,3380,-,,0
59.166.0.6,149.171.126.3,tcp,1.063787,1580,10168,http,,0
59.166.0.0,149.171.126.3,tcp,0.893588,2934,3740,ftp,,0
59.166.0.1,149.171.126.6,tcp,0.006385,3728,5474,ssh,,0
175.45.176.1,149.171.126.11,tcp,0.573699,580,268,-,,0
59.166.0.2,149.171.126.4,tcp,0.921857,7812,15762,-,,0
59.166.0.8,149.171.126.1,tcp,0.488794,37218,3380,smtp,,0
59.166.0.1,149.171.126.3,tcp,0.004842,3768,2456,-,,0
59.166.0.5,149.171.126.2,tcp,0.01598,1044,824,http,,0
59.166.0.0,149.171.126.1,tcp,0.018359,2646,24694,-,,0
59.166.0.0,149.171.126.9,tcp,0.022872,2974,33550,-,,0
59.166.0.3,149.171.126.0,udp,0.00105,146,178,dns,,0
59.166.0.3,149.171.126.2,tcp,0.068,2750,26406,-,,0
59.166.0.2,149.171.126.0,tcp,0.017912,2854,29168,-,,0
59.166.0.8,149.171.126.6,tcp,0.951892,7804,14892,-,,0
59.166.0.6,149.171.126.9,tcp,0.395664,4832,3080,-,,0
59.166.0.3,149.171.126.8,tcp,0.046313,320,1882,ftp-data,,0
59.166.0.5,149.171.126.4,tcp,0.032493,7808,15088,-,,0
59.166.0.3,149.171.126.8,tcp,0.004653,424,8824,ftp-data,,0
59.166.0.0,149.171.126.6,udp,0.001028,146,178,-,,0
59.166.0.1,149.171.126.8,tcp,0.092125,3598,47394,-,,0
59.166.0.5,149.171.126.1,tcp,1.139181,1580,10168,http,,0
59.166.0.5,149.171.126.9,tcp,1.269016,7812,15188,-,,0
59.166.0.9,149.171.126.8,udp,0.037095,528,304,-,,0
59.166.0.5,149.171.126.5,tcp,0.417876,37430,3068,smtp,,0
59.166.0.4,149.171.126.5,tcp,1.006194,1580,10168,http,,0
59.166.0.6,149.171.126.4,tcp,0.027868,3926,57474,-,,0
59.166.0.9,149.171.126.0,tcp,0.20144,4080,2768,-,,0
59.166.0.9,149.171.126.6,udp,0.001167,146,178,dns,,0
59.166.0.6,149.171.126.5,tcp,0.062025,5174,89926,-,,0
175.45.176.1,149.171.126.12,unas,4e-06,200,0,-,Exploits,1
59.166.0.9,149.171.126.6,udp,0.001011,130,162,dns,,0
59.166.0.8,149.171.126.3,tcp,0.079043,3614,46932,-,,0
59.166.0.7,149.171.126.2,tcp,0.044994,2646,24004,-,,0
59.166.0.9,149.171.126.8,tcp,0.00406,1036,2262,-,,0
59.166.0.9,149.171.126.3,tcp,0.008969,2230,14816,-,,0
59.166.0.3,149.171.126.1,udp,0.001043,146,178,-,,0
59.166.0.7,149.171.126.8,tcp,0.242874,5174,87114,-,,0
59.166.0.2,149.171.126.7,tcp,0.022033,2974,31920,-,,0
175.45.176.3,149.171.126.16,tcp,1.1e-05,90,0,-,,0
59.166.0.3,149.171.126.2,tcp,5.613867,24432,1094788,-,,0
59.166.0.3,149.171.126.2,tcp,16.072104,13766,548216,-,,0
149.171.126.1,59.166.0.0,tcp,0.047156,36216,1716,-,,0
59.166.0.4,149.171.126.3,tcp,1.075963,1684,10168,http,,0
59.166.0.0,149.171.126.4,udp,0.004498,568,312,-,,0
59.166.0.8,149.171.126.3,tcp,0.004256,1064,2260,-,,0
59.166.0.0,149.171.126.5,tcp,0.615832,1470,1728,-,,0
59.166.0.1,149.171.126.5,tcp,0.075046,5486,95318,-,,0
59.166.0.4,149.171.126.6,tcp,0.01485,2766,27852,-,,0
175.45.176.1,149.171.126.12,ipnip,5e-06,180,0,-,DoS,1
59.166.0.9,149.171.126.1,tcp,1.841031,37914,3172,smtp,,0
59.166.0.9,149.171.126.0,udp,0.005362,568,312,-,,0
59.166.0.4,149.171.126.8,tcp,0.452613,7814,15998,-,,0
59.166.0.0,149.171.126.9,tcp,15.377394,17010,1023278,-,,0
59.166.0.1,149.171.126.2,tcp,0.091381,320,1830,ftp-data,,0
175.45.176.2,149.171.126.15,tcp,0.159586,814,268,-,Reconnaissance,1
59.166.0.5,149.171.126.2,tcp,0.022596,2958,31784,-,,0
59.166.0.3,149.171.126.1,tcp,0.048007,5486,95560,-,,0
59.166.0.3,149.171.126.3,tcp,0.011023,2230,13358,-,,0
59.166.0.5,149.171.126.3,tcp,12.174832,25160,1094788,-,,0
59.166.0.6,149.171.126.1,tcp,0.93002,9504,12298,ssh,,0
59.166.0.1,149.171.126.3,tcp,0.008395,8928,320,ftp-data,,0
59.166.0.0,149.171.126.9,tcp,0.096204,2158,1918,-,,0
59.166.0.4,149.171.126.4,udp,0.001051,132,164,dns,,0
59.166.0.2,149.171.126.3,udp,0.004771,568,312,-,,0
59.166.0.7,149.171.126.7,tcp,1.00702,1580,10168,http,,0
59.166.0.5,149.171.126.0,tcp,4.396727,18474,1087890,http,,0
59.166.0.4,149.171.126.4,udp,0.000955,130,162,dns,,0
59.166.0.6,149.171.126.4,tcp,1.009905,1684,10168,http,,0
149.171.126.18,175.45.176.1,udp,5e-06,264,0,dns,,0
59.166.0.7,149.171.126.3,udp,0.000997,146,178,dns,,0
59.166.0.5,149.171.126.4,tcp,0.013941,2766,26586,-,,0
59.166.0.8,149.171.126.2,tcp,0.448016,4222,61786,-,,0
59.166.0.6,149.171.126.1,tcp,0.030939,3614,44406,-,,0
59.166.0.3,149.171.126.9,tcp,8.545961,13454,548216,-,,0
59.166.0.0,149.171.126.8,tcp,0.323793,3728,5474,ssh,,0
59.166.0.7,149.171.126.3,tcp,12.320868,2934,3738,ftp,,0
175.45.176.3,149.171.126.14,tcp,0.609118,588,268,-, Fuzzers,1
59.166.0.1,149.171.126.3,tcp,0.008793,2230,14740,-,,0
59.166.0.0,149.171.126.7,udp,0.246126,536,304,-,,0
59.166.0.6,149.171.126.9,tcp,1.111743,12472,12820,ssh,,0
59.166.0.1,149.171.126.1,tcp,1.006274,1684,10168,http,,0
59.166.0.9,149.171.126.9,tcp,0.021973,2766,27770,-,,0
59.166.0.6,149.171.126.4,tcp,0.626381,424,8824,ftp-data,,0
59.166.0.8,149.171.126.1,udp,0.005303,568,312,-,,0
59.166.0.4,149.171.126.1,tcp,0.496836,37252,3276,-,,0
59.166.0.5,149.171.126.0,tcp,0.021806,3390,40254,-,,0
59.166.0.5,149.171.126.4,tcp,0.506965,37262,3380,-,,0
59.166.0.4,149.171.126.5,tcp,0.020846,3302,40932,-,,0
59.166.0.5,149.171.126.5,tcp,0.121988,3848,19084,-,,0
175.45.176.1,149.171.126.18,udp,1.1e-05,114,0,dns,Generic,1
59.166.0.9,149.171.126.9,tcp,0.011491,5928,8010,ssh,,0
59.166.0.9,149.171.126.4,tcp,1.258679,2736,2976,-,,0
59.166.0.9,149.171.126.3,tcp,1.00591,1580,10168,http,,0
175.45.176.1,149.171.126.11,tcp,0.252428,654,268,-, Fuzzers,1
59.166.0.7,149.171.126.3,tcp,1.342181,8928,320,-,,0
59.166.0.4,149.171.126.5,tcp,0.605322,6770,239062,-,,0
59.166.0.3,149.171.126.1,tcp,0.226589,424,8824,ftp-data,,0
59.166.0.6,149.171.126.9,tcp,0.030022,3926,53634,-,,0
59.166.0.0,149.171.126.3,udp,0.000958,130,162,dns,,0
59.166.0.3,149.171.126.6,tcp,0.106985,3926,57982,-,,0
59.166.0.8,149.171.126.5,tcp,0.032895,2766,24114,-,,0
59.166.0.0,149.171.126.5,udp,0.000999,130,162,dns,,0
59.166.0.1,149.171.126.0,tcp,0.03558,2438,19502,-,,0
59.166.0.0,149.171.126.9,tcp,0.504006,424,8824,ftp-data,,0
59.166.0.7,149.171.126.1,tcp,0.004059,1044,824,http,,0
59.166.0.9,149.171.126.6,udp,0.004402,568,304,-,,0
59.166.0.5,149.171.126.9,tcp,0.025871,2854,31142,-,,0
59.166.0.1,149.171.126.1,tcp,4.324083,25632,48874,-,,0
59.166.0.7,149.171.126.0,tcp,0.045989,37832,3380,smtp,,0
59.166.0.6,149.171.126.7,tcp,0.296921,6994,15294,-,,0
59.166.0.1,149.171.126.2,tcp,1.432641,2934,3742,ftp,,0
59.166.0.2,149.171.126.9,tcp,0.004352,1064,2260,-,,0
59.166.0.0,149.171.126.7,tcp,0.0206,2334,19420,-,,0
59.166.0.0,149.171.126.3,tcp,0.120808,37430,3380,-,,0
59.166.0.1,149.171.126.9,tcp,0.006004,2062,2308,-,,0
59.166.0.0,149.171.126.6,tcp,0.004032,1036,2262,-,,0
59.166.0.9,149.171.126.4,tcp,0.103974,3094,32008,-,,0
59.166.0.2,149.171.126.0,tcp,0.011938,2542,21006,-,,0
59.166.0.2,149.171.126.8,tcp,0.031111,2854,30654,-,,0
59.166.0.8,149.171.126.6,udp,0.001828,528,304,-,,0
59.166.0.5,149.171.126.0,tcp,0.332801,424,8824,ftp-data,,0
59.166.0.7,149.171.126.5,tcp,0.039965,1540,1644,-,,0
59.166.0.8,149.171.126.4,tcp,0.020807,1540,1644,-,,0
59.166.0.7,149.171.126.3,tcp,0.007786,4804,2552,-,,0
59.166.0.0,149.171.126.1,tcp,0.060022,2230,14952,-,,0
175.45.176.3,149.171.126.17,udp,1.2e-05,1604,0,-, Fuzzers,1
59.166.0.6,149.171.126.6,udp,0.001062,146,178,dns,,0
59.166.0.0,149.171.126.1,udp,0.001061,146,178,dns,,0
59.166.0.4,149.171.126.5,tcp,0.047766,37244,3380,smtp,,0
59.166.0.6,149.171.126.2,tcp,0.223786,37410,3380,smtp,,0
59.166.0.8,149.171.126.4,tcp,0.068026,5174,89926,-,,0
59.166.0.9,149.171.126.6,tcp,0.043846,2438,19502,-,,0
59.166.0.5,149.171.126.0,udp,0.001059,146,178,-,,0
59.166.0.3,149.171.126.2,udp,0.001079,146,178,-,,0
59.166.0.1,149.171.126.7,tcp,0.010945,2438,19242,-,,0
59.166.0.1,149.171.126.5,tcp,0.003994,1054,824,-,,0
59.166.0.0,149.171.126.0,tcp,0.018582,1540,1644,-,,0
59.166.0.7,149.171.126.5,udp,0.001047,130,162,dns,,0
59.166.0.7,149.171.126.3,udp,0.004773,568,304,-,,0
59.166.0.8,149.171.126.5,tcp,0.750349,4440,3080,-,,0
59.166.0.3,149.171.126.0,udp,0.001098,146,178,dns,,0
59.166.0.2,149.171.126.2,tcp,0.079876,2542,34550,-,,0
59.166.0.9,149.171.126.1,tcp,0.045198,37302,3380,smtp,,0
59.166.0.2,149.171.126.0,tcp,0.057809,2766,27392,-,,0
175.45.176.1,149.171.126.13,udp,1.2e-05,168,0,-,Reconnaissance,1
59.166.0.2,149.171.126.8,tcp,0.068177,2854,31402,-,,0
175.45.176.3,149.171.126.17,tcp,1.225246,706,354,http,Exploits,1
59.166.0.1,149.171.126.4,udp,0.001072,146,178,-,,0
59.166.0.3,149.171.126.0,tcp,0.020555,2854,31506,-,,0
59.166.0.2,149.171.126.4,udp,0.001009,130,162,-,,0
59.166.0.4,149.171.126.4,tcp,0.049606,528,8824,ftp-data,,0
59.166.0.3,149.171.126.9,udp,0.001107,146,178,dns,,0
59.166.0.0,149.171.126.3,tcp,1.579163,7810,15096,-,,0
59.166.0.5,149.171.126.4,udp,0.001652,512,304,-,,0
59.166.0.2,149.171.126.9,tcp,0.027977,3926,58386,-,,0
59.166.0.6,149.171.126.8,tcp,1.005973,1580,10168,http,,0
59.166.0.9,149.171.126.9,tcp,1.572941,37252,3380,-,,0
59.166.0.4,149.171.126.5,tcp,0.152107,4632,2664,-,,0
59.166.0.6,149.171.126.4,udp,0.000987,130,162,dns,,0
59.166.0.0,149.171.126.8,udp,0.001102,146,178,dns,,0
59.166.0.0,149.171.126.5,tcp,0.042775,2438,19502,-,,0
59.166.0.7,149.171.126.4,tcp,0.024556,2854,29218,-,,0
59.166.0.7,149.171.126.1,tcp,0.034838,3182,38534,-,,0
59.166.0.8,149.171.126.1,tcp,0.025005,2750,19232,-,,0
59.166.0.9,149.171.126.4,tcp,0.006225,4304,2456,-,,0
59.166.0.3,149.171.126.2,tcp,1.008825,994,8948,-,,0
59.166.0.8,149.171.126.9,udp,0.005045,568,312,-,,0
59.166.0.3,149.171.126.2,tcp,1.56965,17798,1053390,http,,0
59.166.0.7,149.171.126.8,tcp,0.671081,8928,320,ftp-data,,0
10.40.182.1,10.40.182.3,arp,44.019352,56,92,-,,0
59.166.0.3,149.171.126.3,tcp,0.039989,2646,23604,-,,0
59.166.0.2,149.171.126.7,tcp,0.593805,2934,3740,ftp,,0
59.166.0.8,149.171.126.9,tcp,1.008052,1684,10168,http,,0
59.166.0.4,149.171.126.8,tcp,0.384387,4584,3080,-,,0
59.166.0.0,149.171.126.1,tcp,0.023729,37196,3380,smtp,,0
59.166.0.3,149.171.126.0,tcp,1.668174,1580,10168,http,,0
59.166.0.0,149.171.126.0,udp,0.005444,568,320,-,,0
59.166.0.5,149.171.126.6,tcp,0.138116,5174,91160,-,,0
59.166.0.5,149.171.126.1,tcp,0.017234,2646,24004,-,,0
59.166.0.5,149.171.126.7,udp,0.001025,146,178,dns,,0
59.166.0.9,149.171.126.6,udp,0.001037,130,162,dns,,0
59.166.0.8,149.171.126.0,tcp,0.423558,5032,3080,-,,0
59.166.0.4,149.171.126.4,tcp,0.038763,7808,15114,-,,0
59.166.0.1,149.171.126.6,udp,0.004741,568,304,-,,0
59.166.0.1,149.171.126.5,udp,0.001062,146,178,dns,,0
59.166.0.7,149.171.126.1,tcp,0.25484,37202,3276,smtp,,0
59.166.0.4,149.171.126.8,tcp,0.150282,2854,29218,-,,0
59.166.0.3,149.171.126.3,tcp,0.054509,2750,27174,-,,0
59.166.0.2,149.171.126.5,tcp,0.14312,3182,39076,-,,0
59.166.0.7,149.171.126.3,tcp,0.055013,2542,23278,-,,0
59.166.0.4,149.171.126.2,tcp,0.029336,37238,3380,smtp,,0
59.166.0.2,149.171.126.7,tcp,1.070899,2934,3742,ftp,,0
59.166.0.2,149.171.126.2,tcp,0.018383,2646,26060,-,,0
59.166.0.9,149.171.126.2,tcp,0.947052,7358,275570,-,,0
59.166.0.0,149.171.126.2,udp,0.004709,568,320,-,,0
59.166.0.2,149.171.126.2,udp,0.001055,146,178,dns,,0
59.166.0.7,149.171.126.5,tcp,0.018549,1540,1644,-,,0
59.166.0.4,149.171.126.9,tcp,1.116892,1580,10168,http,,0
59.166.0.1,149.171.126.3,tcp,0.212911,4862,80646,-,,0
59.166.0.8,149.171.126.9,tcp,0.103745,320,6112,ftp-data,,0
59.166.0.9,149.171.126.9,tcp,0.067032,2646,24316,-,,0
59.166.0.5,149.171.126.4,tcp,0.010888,2438,19138,-,,0
59.166.0.7,149.171.126.3,tcp,0.091483,320,1904,ftp-data,,0
149.171.126.18,175.45.176.1,udp,2e-06,264,0,dns,,0
59.166.0.6,149.171.126.7,tcp,1.006016,1580,10168,http,,0
59.166.0.5,149.171.126.2,tcp,0.025479,2958,32408,-,,0
59.166.0.2,149.171.126.9,udp,0.00108,130,162,dns,,0
59.166.0.1,149.171.126.6,tcp,0.041763,37298,3276,smtp,,0
59.166.0.3,149.171.126.4,udp,0.00102,130,162,dns,,0
59.166.0.7,149.171.126.3,tcp,3.55072,17330,1087890,http,,0
59.166.0.1,149.171.126.1,tcp,0.027861,2974,33122,-,,0
59.166.0.5,149.171.126.4,tcp,0.648593,8928,320,ftp-data,,0
59.166.0.1,149.171.126.5,udp,0.001795,544,304,-,,0
59.166.0.9,149.171.126.5,tcp,0.063106,4654,72060,-,,0
59.166.0.7,149.171.126.5,udp,0.001081,146,178,dns,,0
59.166.0.8,149.171.126.7,tcp,0.030164,2974,33122,-,,0
175.45.176.1,149.171.126.18,udp,1.1e-05,114,0,dns,Generic,1
59.166.0.6,149.171.126.6,tcp,0.315839,13246,548216,-,,0
59.166.0.4,149.171.126.2,tcp,0.525716,37466,3276,smtp,,0
59.166.0.9,149.171.126.9,udp,0.001022,130,162,dns,,0
59.166.0.4,149.171.126.9,tcp,0.030732,4238,65938,-,,0
59.166.0.8,149.171.126.8,tcp,1.255904,1684,10168,http,,0
59.166.0.8,149.171.126.9,tcp,0.0711,4238,60892,-,,0
59.166.0.0,149.171.126.4,udp,0.004718,568,320,-,,0
59.166.0.0,149.171.126.5,tcp,0.368355,320,1880,ftp-data,,0
59.166.0.0,149.171.126.5,tcp,0.046412,320,1868,ftp-data,,0
59.166.0.0,149.171.126.7,tcp,0.007783,2230,12896,-,,0
59.166.0.3,149.171.126.4,tcp,0.009468,2230,15258,-,,0
59.166.0.1,149.171.126.6,tcp,0.28823,2048,2410,-,,0
59.166.0.0,149.171.126.5,tcp,0.066883,4238,62112,-,,0
59.166.0.0,149.171.126.9,tcp,1.006301,1580,10168,http,,0
59.166.0.0,149.171.126.3,tcp,0.020025,1540,1644,-,,0
59.166.0.5,149.171.126.4,udp,0.004768,568,312,-,,0
59.166.0.9,149.171.126.2,tcp,0.005854,1920,4312,-,,0
59.166.0.1,149.171.126.4,tcp,0.268269,320,1976,ftp-data,,0
59.166.0.0,149.171.126.7,tcp,0.023631,2542,23508,-,,0
149.171.126.8,59.166.0.2,tcp,0.17866,8712,208,-,,0
59.166.0.1,149.171.126.3,tcp,7.908797,19410,1087890,http,,0
175.45.176.1,149.171.126.18,udp,1e-05,114,0,dns,Generic,1
59.166.0.1,149.171.126.4,tcp,1.595944,7822,15736,-,,0
59.166.0.4,149.171.126.3,tcp,1.005887,1684,10168,-,,0
59.166.0.1,149.171.126.7,tcp,0.030832,2230,12896,-,,0
59.166.0.7,149.171.126.2,udp,0.006119,568,304,-,,0
59.166.0.4,149.171.126.8,tcp,0.039877,3182,38638,-,,0
59.166.0.9,149.171.126.8,udp,0.00447,568,312,-,,0
59.166.0.5,149.171.126.7,tcp,1.045892,1684,10168,http,,0
59.166.0.8,149.171.126.5,udp,0.00486,568,304,-,,0
59.166.0.2,149.171.126.3,tcp,1.076904,1580,10168,http,,0
59.166.0.8,149.171.126.3,tcp,1.108923,1684,10168,http,,0
59.166.0.5,149.171.126.4,tcp,0.015382,1540,1644,-,,0
59.166.0.8,149.171.126.4,udp,0.001124,146,178,dns,,0
59.166.0.2,149.171.126.3,tcp,1.078086,1580,10168,http,,0
59.166.0.8,149.171.126.8,tcp,10.310324,2796,3634,ftp,,0
59.166.0.1,149.171.126.7,udp,0.00141,284,152,-,,0
59.166.0.3,149.171.126.9,tcp,0.05432,37252,3380,smtp,,0
59.166.0.8,149.171.126.7,tcp,0.026057,2126,12618,-,,0
59.166.0.0,149.171.126.9,tcp,0.386812,37998,3380,smtp,,0
59.166.0.9,149.171.126.0,tcp,0.004633,424,8824,ftp-data,,0
59.166.0.9,149.171.126.5,udp,0.001059,146,178,dns,,0
59.166.0.6,149.171.126.2,tcp,0.456835,37232,3276,smtp,,0
149.171.126.18,175.45.176.1,udp,2e-06,264,0,dns,,0
59.166.0.0,149.171.126.5,tcp,0.069132,4222,61786,-,,0
59.166.0.2,149.171.126.4,udp,0.000927,130,162,dns,,0
59.166.0.9,149.171.126.4,tcp,0.515333,4848,3080,-,,0
59.166.0.0,149.171.126.6,udp,0.001623,528,304,-,,0
59.166.0.2,149.171.126.9,tcp,0.04398,2438,19918,-,,0
59.166.0.8,149.171.126.3,udp,0.00109,146,178,dns,,0
59.166.0.4,149.171.126.1,udp,0.00115,146,178,dns,,0
59.166.0.2,149.171.126.1,udp,0.001091,146,178,dns,,0
59.166.0.2,149.171.126.2,tcp,0.855621,2934,3742,ftp,,0
59.166.0.5,149.171.126.7,udp,0.001139,130,162,dns,,0
59.166.0.5,149.171.126.8,tcp,0.234074,8928,320,ftp-data,,0
59.166.0.5,149.171.126.4,tcp,1.012056,1684,10168,http,,0
59.166.0.2,149.171.126.0,tcp,3.599902,13350,548216,-,,0
59.166.0.5,149.171.126.0,tcp,1.006052,1580,10168,http,,0
59.166.0.8,149.171.126.8,tcp,0.024082,3614,45396,-,,0
59.166.0.6,149.171.126.8,tcp,0.073044,3494,44988,-,,0
59.166.0.3,149.171.126.6,udp,0.001087,146,178,dns,,0
59.166.0.5,149.171.126.0,tcp,0.020873,3302,40832,-,,0
59.166.0.9,149.171.126.7,udp,0.001053,146,178,dns,,0
59.166.0.8,149.171.126.9,tcp,2.94404,12242,485110,-,,0
59.166.0.2,149.171.126.6,tcp,0.38186,37408,3276,-,,0
59.166.0.1,149.171.126.7,udp,0.001009,146,178,-,,0
59.166.0.4,149.171.126.8,tcp,4.059634,18682,1087890,http,,0
59.166.0.3,149.171.126.2,tcp,0.011771,2438,19502,-,,0
59.166.0.3,149.171.126.6,tcp,0.016899,2230,14740,-,,0
59.166.0.8,149.171.126.0,udp,0.001022,146,178,dns,,0
59.166.0.3,149.171.126.0,tcp,0.215355,1920,4312,-,,0
59.166.0.3,149.171.126.3,tcp,0.070144,4238,61854,-,,0
59.166.0.7,149.171.126.0,tcp,0.223503,424,8824,ftp-data,,0
59.166.0.0,149.171.126.7,tcp,0.026255,884,852,ftp,,0
59.166.0.6,149.171.126.2,tcp,12.168874,2934,3738,ftp,,0
59.166.0.0,149.171.126.7,udp,0.001745,520,304,-,,0
59.166.0.0,149.171.126.0,tcp,0.437282,8928,320,ftp-data,,0
59.166.0.6,149.171.126.2,tcp,0.018585,1540,1644,-,,0
59.166.0.2,149.171.126.9,tcp,0.010959,2334,16734,-,,0
59.166.0.2,149.171.126.1,tcp,0.309206,4208,2976,-,,0
59.166.0.3,149.171.126.2,tcp,1.075499,1684,10168,http,,0
59.166.0.8,149.171.126.5,tcp,0.013241,2646,24694,-,,0
59.166.0.4,149.171.126.2,tcp,0.016874,2542,19502,-,,0
59.166.0.9,149.171.126.6,tcp,0.023239,2438,19242,-,,0
59.166.0.6,149.171.126.4,tcp,0.005495,2054,2478,-,,0
59.166.0.9,149.171.126.1,tcp,0.012309,4512,2456,-,,0
59.166.0.1,149.171.126.2,tcp,0.069991,2974,33122,-,,0
59.166.0.4,149.171.126.8,tcp,0.008854,2230,15258,-,,0
59.166.0.7,149.171.126.5,tcp,0.033059,2766,25846,-,,0
59.166.0.2,149.171.126.1,udp,0.001041,146,178,dns,,0
59.166.0.7,149.171.126.0,tcp,0.019357,1540,1644,-,,0
59.166.0.6,149.171.126.7,tcp,0.312429,424,8824,ftp-data,,0
59.166.0.9,149.171.126.8,tcp,0.003962,1036,824,http,,0
59.166.0.1,149.171.126.3,tcp,18.850798,16498,1087900,http,,0
59.166.0.2,149.171.126.8,udp,0.001053,146,178,-,,0
59.166.0.6,149.171.126.4,tcp,0.023256,1064,2364,-,,0
59.166.0.0,149.171.126.4,udp,0.001047,146,178,dns,,0
59.166.0.6,149.171.126.4,tcp,1.017033,1580,10168,http,,0
59.166.0.4,149.171.126.5,tcp,0.04624,320,1922,ftp-data,,0
59.166.0.9,149.171.126.2,tcp,0.031067,3302,35400,-,,0
59.166.0.1,149.171.126.5,tcp,5.981645,24432,1094788,-,,0
59.166.0.9,149.171.126.2,tcp,0.005998,2062,2308,-,,0
59.166.0.8,149.171.126.7,udp,0.00106,146,178,dns,,0
59.166.0.4,149.171.126.2,tcp,0.003963,1048,824,http,,0
59.166.0.4,149.171.126.9,tcp,0.027686,3390,41228,-,,0
59.166.0.4,149.171.126.1,udp,0.00465,568,312,-,,0
59.166.0.7,149.171.126.7,tcp,2.176812,7818,14888,-,,0
59.166.0.3,149.171.126.3,tcp,0.223341,8928,320,ftp-data,,0
59.166.0.6,149.171.126.4,tcp,0.020883,2958,32330,-,,0
59.166.0.0,149.171.126.7,udp,0.332362,568,312,-,,0
59.166.0.6,149.171.126.0,tcp,0.02093,3390,42510,-,,0
175.45.176.1,149.171.126.18,udp,1e-06,114,0,dns,Generic,1
59.166.0.0,149.171.126.1,tcp,0.385965,4976,3080,-,,0
59.166.0.8,149.171.126.7,tcp,0.007033,4032,2456,-,,0
59.166.0.0,149.171.126.2,tcp,0.042981,5174,90666,-,,0
59.166.0.6,149.171.126.3,tcp,0.022966,3614,46932,-,,0
59.166.0.7,149.171.126.6,tcp,0.036077,2854,29168,-,,0
175.45.176.1,149.171.126.12,tcp,2.753034,3306,1946,-,Exploits,1
59.166.0.2,149.171.126.7,tcp,1.008964,1684,10168,-,,0
59.166.0.4,149.171.126.4,tcp,0.033979,2958,32408,-,,0
59.166.0.6,149.171.126.4,tcp,0.016643,2958,32368,-,,0
59.166.0.1,149.171.126.9,udp,0.001047,146,178,dns,,0
59.166.0.7,149.171.126.9,tcp,0.03035,37262,3380,smtp,,0
59.166.0.6,149.171.126.2,udp,0.001001,146,178,dns,,0
59.166.0.8,149.171.126.0,tcp,0.047042,4014,57706,-,,0
59.166.0.5,149.171.126.4,tcp,0.024353,3614,47774,-,,0
59.166.0.4,149.171.126.0,udp,0.005555,536,304,-,,0
59.166.0.0,149.171.126.9,tcp,0.932812,2094,24826,-,,0
59.166.0.9,149.171.126.8,tcp,0.006562,4016,2456,-,,0
59.166.0.5,149.171.126.1,tcp,0.19723,4908,2344,-,,0
59.166.0.7,149.171.126.0,tcp,0.00502,1036,2262,-,,0
59.166.0.8,149.171.126.5,udp,0.001114,146,178,dns,,0
